歌名,歌手,曲风,推荐标签,语种,BPM,乐评
我的歌声里,曲婉婷、,流行、,抒情、悲伤、放松、治愈、,国语,68,
思乡,白宏哲、,流行-器乐流行、,孤独、悲伤、平静、放松、,纯音乐,152,
破釜沉舟（Don't Let Me Drown）,Cole先生、,流行、,悲伤、动感、抒情、,国语,60,
Black,G-DRAGON、JENNIE、,流行-韩国流行、嘻哈说唱-韩语说唱、,抒情、动感、活力、,韩语,90,
玻璃,自由散漫乐团、,另类/独立-独立流行、,抒情、悲伤、放松、孤独、旅游、,国语,100,
诀爱,ERIS、,流行-华语流行、,抒情、KTV、,国语,71,
我的眼里只有你 (live),汪苏泷、,流行-华语流行、,KTV、抒情、悲伤、,国语,69,
我爱你，却不能拯救你,好乐团、,摇滚-另类摇滚、流行-华语流行、,抒情、动感、悲伤、思念、苦情、活力、KTV、,国语,81,
关键词（Cover 林俊杰）,宇西、,流行-华语流行、,抒情、悲伤、KTV、,国语,67,
你总是,牛佳钰、,流行-华语流行、,悲伤、放松、,国语,120,
说不出口的爱,Mikey-18、GL、,流行-华语流行、,放松、幸福、快乐、,国语,63,
Ice On My Baby,Yung Bleu、,嘻哈说唱、,酒吧、动感、慵懒、放松、,英语,75,
什么b动静,Dr.Nur单、洛天依、,二次元、,可爱、快乐、放松、愤怒、,国语,139,
给你宇宙,CashMoon、,流行-华语流行、,可爱、快乐、放松、,国语,120,
Baby VIP,Swattrex、Young and broke、Swattrex VIP、,电子、,动感、放松、,英语,103,
西楼儿女,海来啊木、,流行-华语流行、,清新、放松、,国语,117,
玫瑰教堂,闫泽欢、,流行、,热血、动感、放松、洒脱、抒情、轻快、快乐、活力、,国语,75,
小rapper,Rapeter、,流行-华语流行、嘻哈说唱-流行说唱、,放松、,国语,69,
很适合在月光下,PIggy、,流行、,抒情、,国语,65,
Zood,bbblckck、,嘻哈说唱、,动感、放松、活力、轻快、快乐、梦幻、抒情、悲伤、孤独、,韩语,90,
